"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0;0,319192;11,798;0;-24,6975;-17,3107
1e-06;0,323232;11,798;50;-28,3657;-21,0208
2e-06;0,323232;11,7576;100;-40,3104;-32,5462
3e-06;0,319192;11,7172;150;-40,0594;-33,1033
4e-06;0,323232;11,798;200;-39,6434;-32,0276
5e-06;0,315152;11,7576;250;-39,2418;-31,8464
6e-06;0,319192;11,7576;300;-39,6259;-31,5811
7e-06;0,323232;11,7576;350;-46,5897;-39,6556
8e-06;0,323232;11,7172;400;-25,9265;-18,4576
9e-06;0,323232;11,798;450;2,07698;9,53465
1e-05;0,323232;11,8384;500;6,436;13,8948
1,1e-05;0,319192;11,7576;550;-4,33778;3,11644
1,2e-05;0,323232;11,7172;600;-37,2719;-29,55
1,3e-05;0,315152;11,798;650;-42,666;-35,3831
1,4e-05;0,319192;11,8384;700;-40,1842;-32,2977
1,5e-05;0,311111;11,7576;750;-40,3272;-32,804
1,6e-05;0,319192;11,7576;800;-40,9392;-33,6523
1,7e-05;0,323232;11,7576;850;-41,8326;-34,6401
1,8e-05;0,323232;11,7576;900;-51,2547;-43,1679
1,9e-05;0,323232;11,7576;950;-24,9567;-17,4441
2e-05;0,323232;11,7172;1.000;-25,7734;-18,2636
2,1e-05;0,323232;11,798;1.050;-35,0274;-27,4859
2,2e-05;0,323232;11,7576;1.100;-42,7842;-35,2995
2,3e-05;0,323232;11,7576;1.150;-43,3696;-36,5465
2,4e-05;0,323232;11,7172;1.200;-43,2713;-35,2966
2,5e-05;0,319192;11,7172;1.250;-43,1876;-36,0699
2,6e-05;0,315152;11,7172;1.300;-44,3173;-36,2266
2,7e-05;0,315152;11,7172;1.350;-56,6751;-47,4684
2,8e-05;0,315152;11,798;1.400;-19,0817;-11,6214
2,9e-05;0,319192;11,7576;1.450;-4;3,46566
3e-05;0,319192;11,7172;1.500;-5,37473;2,09019
3,1e-05;0,319192;11,798;1.550;-24,9215;-17,4848
3,2e-05;0,323232;11,8384;1.600;-58,0843;-49,4353
3,3e-05;0,323232;11,7172;1.650;-48,3494;-40,6931
3,4e-05;0,323232;11,7576;1.700;-47,3266;-40,0992
3,5e-05;0,315152;11,7172;1.750;-47,7014;-39,364
3,6e-05;0,319192;11,7172;1.800;-48,9658;-42,3622
3,7e-05;0,323232;11,7172;1.850;-51,7025;-44,0456
3,8e-05;0,323232;11,798;1.900;-36,2472;-28,7628
3,9e-05;0,319192;11,8384;1.950;-23,5341;-16,0967
4e-05;0,319192;11,7576;2.000;-28,5839;-21,1474
4,1e-05;0,323232;11,798;2.050;-48,254;-40,4302
4,2e-05;0,319192;11,798;2.100;-54,6447;-47,0804
4,3e-05;0,319192;11,7576;2.150;-55,9525;-48,5433
4,4e-05;0,323232;11,7172;2.200;-56,7804;-50,244
4,5e-05;0,323232;11,7576;2.250;-56,405;-47,8155
4,6e-05;0,323232;11,798;2.300;-57,4093;-49,5919
4,7e-05;0,323232;11,7576;2.350;-60;-53,1753
4,8e-05;0,323232;11,7576;2.400;-15,0128;-7,54204
4,9e-05;0,319192;11,9192;2.450;-7,34532;0,121043
5e-05;0,319192;11,7576;2.500;-14,6747;-7,20647
5,1e-05;0,323232;11,7576;2.550;-55,7912;-47,8781
5,2e-05;0,323232;11,7172;2.600;-58,3324;-51,6804
5,3e-05;0,323232;11,798;2.650;-58,0336;-48,8672
5,4e-05;0,319192;11,798;2.700;-58,2618;-51,2886
5,5e-05;0,323232;11,7576;2.750;-57,7487;-50,4581
5,6e-05;0,319192;11,798;2.800;-58,5392;-50,5336
5,7e-05;0,323232;11,798;2.850;-60;-59,9969
5,8e-05;0,323232;11,7172;2.900;-28,1051;-20,6978
5,9e-05;0,323232;11,7576;2.950;-24,0135;-16,6085
6e-05;0,323232;11,7576;3.000;-33,8042;-26,4422
6,1e-05;0,319192;11,8384;3.050;-54,7028;-46,382
6,2e-05;0,319192;11,7172;3.100;-56,8027;-52,8691
6,3e-05;0,319192;11,7576;3.150;-56,2923;-47,4374
6,4e-05;0,315152;11,7576;3.200;-55,7844;-48,2275
6,5e-05;0,323232;11,798;3.250;-56,7148;-49,3724
6,6e-05;0,319192;11,7576;3.300;-60;-60
6,7e-05;0,323232;11,8788;3.350;-33,2497;-25,8451
6,8e-05;0,323232;11,7576;3.400;-13,0849;-5,62681
6,9e-05;0,319192;11,7172;3.450;-11,408;-3,94932
7e-05;0,323232;11,7576;3.500;-26,0094;-18,5667
7,1e-05;0,315152;11,8384;3.550;-60;-53,2372
7,2e-05;0,323232;11,7172;3.600;-52,1532;-43,4415
7,3e-05;0,323232;11,8788;3.650;-50,7937;-43,3271
7,4e-05;0,315152;11,798;3.700;-51,0543;-44,1602
7,5e-05;0,315152;11,798;3.750;-51,665;-43,5607
7,6e-05;0,323232;11,798;3.800;-54,8877;-47,1859
7,7e-05;0,323232;11,7172;3.850;-41,9222;-34,2601
7,8e-05;0,319192;11,798;3.900;-24,5666;-17,0961
7,9e-05;0,319192;11,798;3.950;-26,353;-18,91
8e-05;0,323232;11,7576;4.000;-42,9041;-35,494
8,1e-05;0,323232;11,8384;4.050;-54,7438;-47,9138
8,2e-05;0,319192;11,7576;4.100;-57,3734;-48,9691
8,3e-05;0,319192;11,7576;4.150;-56,908;-49,242
8,4e-05;0,319192;11,798;4.200;-57,1558;-51,4331
8,5e-05;0,319192;11,7576;4.250;-58,4977;-49,2837
8,6e-05;0,319192;11,7172;4.300;-58,2116;-51,0342
8,7e-05;0,323232;11,7172;4.350;-24,2546;-16,759
8,8e-05;0,323232;11,8384;4.400;-13,0299;-5,55617
8,9e-05;0,323232;11,7172;4.450;-17,1169;-9,65707
9e-05;0,323232;11,7576;4.500;-43,3805;-36,0873
9,1e-05;0,323232;11,798;4.550;-60;-60
9,2e-05;0,319192;11,798;4.600;-60;-56,3658
9,3e-05;0,323232;11,798;4.650;-60;-54,2609
9,4e-05;0,315152;11,7576;4.700;-60;-54,1087
9,5e-05;0,319192;11,798;4.750;-60;-56,2099
9,6e-05;0,319192;11,7172;4.800;-60;-60
9,7e-05;0,323232;11,7576;4.850;-31,5515;-24,1082
9,8e-05;0,323232;11,7576;4.900;-23,6441;-16,2096
9,9e-05;0,323232;11,798;4.950;-30,817;-23,3725
0,0001;0,331313;11,7576;5.000;-60;-60
0,000101;0,323232;11,8384;5.050;-60;-60
0,000102;0,323232;11,8788;5.100;-60;-60
0,000103;0,323232;11,7172;5.150;-60;-60
0,000104;0,323232;11,7576;5.200;-60;-58,0027
0,000105;0,319192;11,798;5.250;-60;-56,9
0,000106;0,323232;11,8384;5.300;-47,3216;-39,7626
0,000107;0,323232;11,8788;5.350;-19,5678;-12,092
0,000108;0,323232;11,8788;5.400;-14,8061;-7,34146
0,000109;0,327273;11,8384;5.450;-25,3508;-17,8982
0,00011;0,319192;11,7172;5.500;-60;-60
0,000111;0,323232;11,798;5.550;-57,4028;-51,0244
0,000112;0,319192;11,8384;5.600;-56,2926;-48,53
0,000113;0,323232;11,9192;5.650;-56,0338;-47,2371
0,000114;0,323232;11,7576;5.700;-56,3823;-52,0781
0,000115;0,315152;11,798;5.750;-59,1505;-49,3796
0,000116;0,319192;11,8384;5.800;-49,6123;-41,9744
0,000117;0,323232;11,7576;5.850;-26,3274;-18,9057
0,000118;0,323232;11,798;5.900;-24,8755;-17,4351
0,000119;0,319192;11,798;5.950;-38,1592;-30,7778
0,00012;0,323232;11,7576;6.000;-57,497;-48,5939
0,000121;0,323232;11,8384;6.050;-60;-56,5714
0,000122;0,315152;11,798;6.100;-60;-54,844
0,000123;0,323232;11,8788;6.150;-60;-52,7501
0,000124;0,319192;11,8384;6.200;-60;-59,3308
0,000125;0,311111;11,7172;6.250;-60;-55,8346
0,000126;0,319192;11,7172;6.300;-32,8901;-25,4111
0,000127;0,323232;11,798;6.350;-17,5707;-10,1045
0,000128;0,315152;11,7576;6.400;-18,5687;-11,1028
0,000129;0,319192;11,8384;6.450;-37,8912;-30,5501
0,00013;0,319192;11,8384;6.500;-60;-59,7761
0,000131;0,323232;11,7576;6.550;-57,1434;-50,7352
0,000132;0,323232;11,798;6.600;-56,7868;-48,109
0,000133;0,319192;11,7576;6.650;-56,8644;-49,5748
0,000134;0,319192;11,7576;6.700;-57,8128;-50,0953
0,000135;0,319192;11,7172;6.750;-60;-57,4605
0,000136;0,323232;11,798;6.800;-36,0129;-28,504
0,000137;0,323232;11,8384;6.850;-24,0692;-16,6295
0,000138;0,323232;11,798;6.900;-28,2438;-20,8144
0,000139;0,323232;11,7576;6.950;-51,2918;-43,8114
0,00014;0,323232;11,798;7.000;-60;-55,3242
0,000141;0,323232;11,7576;7.050;-60;-60
0,000142;0,319192;11,798;7.100;-60;-58,0163
0,000143;0,323232;11,798;7.150;-60;-60
0,000144;0,327273;11,798;7.200;-60;-60
0,000145;0,323232;11,7172;7.250;-60;-60
0,000146;0,323232;11,798;7.300;-25,7549;-18,2621
0,000147;0,323232;11,7172;7.350;-17,7523;-10,2767
0,000148;0,323232;11,7172;7.400;-24,735;-17,276
0,000149;0,323232;11,798;7.450;-60;-57,4376
