"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0;0,319192;10,6263;0;-24,7467;-16,8781
1e-06;0,323232;10,7071;50;-28,3863;-21,0407
2e-06;0,315152;10,7475;100;-40,1082;-29,0692
3e-06;0,323232;10,8283;150;-39,8764;-12,4727
4e-06;0,323232;10,6263;200;-39,4718;-18,0667
5e-06;0,323232;10,7071;250;-39,1125;-25,7822
6e-06;0,323232;10,8283;300;-39,3531;-18,7192
7e-06;0,323232;10,6667;350;-44,3242;-16,2271
8e-06;0,311111;10,5051;400;-25,8545;-17,7663
9e-06;0,319192;10,6263;450;2,07629;8,83085
1e-05;0,323232;10,5859;500;6,43634;13,2019
1,1e-05;0,323232;10,7071;550;-4,33684;2,44277
1,2e-05;0,319192;10,6263;600;-36,6784;-44,167
1,3e-05;0,319192;10,6667;650;-42,0149;-20,7096
1,4e-05;0,323232;10,6263;700;-39,9059;-23,7747
1,5e-05;0,319192;10,5859;750;-40,1015;-38,6505
1,6e-05;0,323232;10,5859;800;-40,6824;-23,5526
1,7e-05;0,323232;10,6263;850;-41,8092;-34,0299
1,8e-05;0,323232;10,6263;900;-50,5192;-38,0235
1,9e-05;0,323232;10,6667;950;-24,9429;-23,3027
2e-05;0,323232;10,5859;1.000;-25,8026;-27,0105
2,1e-05;0,319192;10,6263;1.050;-34,9848;-32,2602
2,2e-05;0,323232;10,6667;1.100;-42,647;-34,4443
2,3e-05;0,319192;10,7475;1.150;-43,3103;-27,9841
2,4e-05;0,319192;10,6263;1.200;-43,1009;-36,3835
2,5e-05;0,323232;10,8283;1.250;-42,9169;-32,0625
2,6e-05;0,323232;10,6667;1.300;-43,8663;-39,2024
2,7e-05;0,315152;10,6667;1.350;-50,7221;-37,3321
2,8e-05;0,323232;10,6667;1.400;-19,0719;-12,3373
2,9e-05;0,327273;10,7071;1.450;-3,99697;2,85783
3e-05;0,315152;10,5455;1.500;-5,37265;1,49175
3,1e-05;0,323232;10,7071;1.550;-24,9039;-17,8645
3,2e-05;0,323232;10,5859;1.600;-51,9353;-37,3408
3,3e-05;0,319192;10,5859;1.650;-47,7705;-35,1136
3,4e-05;0,323232;10,7071;1.700;-47,0566;-36,8866
3,5e-05;0,323232;10,7475;1.750;-47,7022;-41,7625
3,6e-05;0,323232;10,7071;1.800;-48,7709;-32,5371
3,7e-05;0,323232;10,7071;1.850;-51,0022;-41,7519
3,8e-05;0,323232;10,6667;1.900;-36,2499;-37,1876
3,9e-05;0,323232;10,6667;1.950;-23,5604;-23,5761
4e-05;0,323232;10,7475;2.000;-28,6372;-29,8083
4,1e-05;0,323232;10,6667;2.050;-48,3519;-44,6991
4,2e-05;0,323232;10,6263;2.100;-54,1466;-34,6081
4,3e-05;0,323232;10,5859;2.150;-56,021;-33,92
4,4e-05;0,319192;10,6667;2.200;-56,7255;-49,9272
4,5e-05;0,323232;10,5859;2.250;-56,522;-35,0928
4,6e-05;0,319192;10,6667;2.300;-57,3038;-34,3795
4,7e-05;0,323232;10,6667;2.350;-59,5111;-44,1389
4,8e-05;0,319192;10,7071;2.400;-15,0065;-8,40172
4,9e-05;0,319192;10,7071;2.450;-7,34097;-0,687131
5e-05;0,315152;10,6667;2.500;-14,6747;-7,94517
5,1e-05;0,323232;10,7071;2.550;-56,3801;-41,4348
5,2e-05;0,323232;10,5051;2.600;-57,7221;-41,9927
5,3e-05;0,323232;10,5455;2.650;-58,0341;-40,9376
5,4e-05;0,315152;10,5859;2.700;-58,3127;-49,3577
5,5e-05;0,319192;10,6263;2.750;-57,2954;-44,9841
5,6e-05;0,319192;10,7071;2.800;-58,422;-53,3673
