"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0;0,331313;2,48485;0;-30,0856;-60
1e-06;0,327273;2,48081;50;-33,6258;-60
2e-06;0,335354;2,48081;100;-45,1163;-60
3e-06;0,347475;2,47677;150;-44,2585;-60
4e-06;0,335354;2,48889;200;-43,1412;-60
5e-06;0,343434;2,47677;250;-42,0741;-60
6e-06;0,339394;2,48889;300;-42,2846;-60
7e-06;0,335354;2,49293;350;-48,2759;-60
8e-06;0,339394;2,48485;400;-25,4725;-60
9e-06;0,343434;2,47677;450;2,03735;-57,7574
1e-05;0,339394;2,48485;500;6,4199;-54,3005
1,1e-05;0,343434;2,48485;550;-4,38313;-60
1,2e-05;0,335354;2,48485;600;-37,7597;-60
1,3e-05;0,343434;2,47273;650;-41,2576;-60
1,4e-05;0,343434;2,47677;700;-39,497;-60
1,5e-05;0,339394;2,49293;750;-40,1298;-60
1,6e-05;0,335354;2,48485;800;-40,7524;-60
1,7e-05;0,335354;2,48485;850;-42,0223;-60
1,8e-05;0,347475;2,47677;900;-46,1756;-60
1,9e-05;0,339394;2,48889;950;-25,3029;-60
2e-05;0,335354;2,49697;1.000;-25,3407;-60
2,1e-05;0,327273;2,48485;1.050;-36,1849;-60
2,2e-05;0,335354;2,48485;1.100;-45,9136;-60
2,3e-05;0,343434;2,49293;1.150;-47,4662;-60
2,4e-05;0,335354;2,48081;1.200;-47,9502;-60
2,5e-05;0,331313;2,48485;1.250;-48,2951;-60
2,6e-05;0,335354;2,48889;1.300;-48,6803;-60
2,7e-05;0,339394;2,48081;1.350;-43,1426;-60
2,8e-05;0,335354;2,49293;1.400;-18,7418;-60
2,9e-05;0,331313;2,48889;1.450;-4,08183;-60
3e-05;0,339394;2,48889;1.500;-5,32989;-60
3,1e-05;0,339394;2,49293;1.550;-25,5532;-60
3,2e-05;0,347475;2,48081;1.600;-48,0741;-60
3,3e-05;0,335354;2,48485;1.650;-42,122;-60
3,4e-05;0,339394;2,48485;1.700;-41,838;-60
3,5e-05;0,323232;2,47677;1.750;-42,3476;-60
3,6e-05;0,335354;2,47677;1.800;-43,0144;-60
3,7e-05;0,339394;2,47677;1.850;-43,9929;-60
3,8e-05;0,339394;2,48081;1.900;-36,4071;-60
3,9e-05;0,327273;2,48889;1.950;-23,3809;-60
4e-05;0,347475;2,48485;2.000;-28,8131;-60
4,1e-05;0,351515;2,48889;2.050;-44,0788;-60
4,2e-05;0,339394;2,48485;2.100;-46,488;-60
4,3e-05;0,335354;2,48081;2.150;-47,5416;-60
4,4e-05;0,339394;2,48889;2.200;-47,4877;-60
4,5e-05;0,335354;2,48889;2.250;-48,6091;-60
4,6e-05;0,339394;2,48081;2.300;-48,1254;-60
4,7e-05;0,335354;2,47677;2.350;-48,5752;-60
4,8e-05;0,339394;2,48081;2.400;-14,8686;-60
4,9e-05;0,339394;2,48485;2.450;-7,43153;-60
5e-05;0,343434;2,48081;2.500;-14,5474;-60
5,1e-05;0,335354;2,47677;2.550;-51,0429;-60
5,2e-05;0,335354;2,48485;2.600;-50,3103;-60
5,3e-05;0,343434;2,48889;2.650;-50,5297;-60
5,4e-05;0,339394;2,47677;2.700;-50,7841;-60
5,5e-05;0,343434;2,48485;2.750;-51,3944;-60
5,6e-05;0,331313;2,48889;2.800;-50,7747;-60
5,7e-05;0,335354;2,49697;2.850;-47,6408;-60
5,8e-05;0,327273;2,48889;2.900;-28,9552;-60
5,9e-05;0,335354;2,48081;2.950;-23,5401;-60
6e-05;0,339394;2,48889;3.000;-35,4951;-60
6,1e-05;0,339394;2,47677;3.050;-52,4751;-60
6,2e-05;0,339394;2,49697;3.100;-50,8762;-60
6,3e-05;0,347475;2,48485;3.150;-50,7085;-60
6,4e-05;0,347475;2,49697;3.200;-50,9838;-60
6,5e-05;0,339394;2,48081;3.250;-51,0293;-60
6,6e-05;0,339394;2,48081;3.300;-52,1194;-60
6,7e-05;0,335354;2,48485;3.350;-33,1018;-60
6,8e-05;0,331313;2,48889;3.400;-13,1064;-60
6,9e-05;0,335354;2,48485;3.450;-11,4251;-60
7e-05;0,331313;2,48485;3.500;-26,0303;-60
7,1e-05;0,327273;2,49293;3.550;-53,6519;-60
7,2e-05;0,343434;2,49293;3.600;-50,2952;-60
7,3e-05;0,339394;2,47677;3.650;-49,9563;-60
7,4e-05;0,331313;2,48485;3.700;-50,4539;-60
7,5e-05;0,343434;2,48889;3.750;-50,7317;-60
7,6e-05;0,335354;2,49293;3.800;-50,8368;-60
