"t / s";"CH1 / V";"CH2 / V";"f / Hz";"SP1 / dB";"SP2 / dB"
0;5,12727;5,25253;0;-24,4039;-60
1e-06;5,13131;5,21212;50;-28,0325;-58,3704
2e-06;5,13131;5,25253;100;-39,9966;-59,8381
3e-06;5,13131;5,23232;150;-39,5489;-60
4e-06;5,12727;5,23232;200;-39,1839;-60
5e-06;5,13131;5,23232;250;-38,818;-60
6e-06;5,13131;5,25253;300;-39,115;-60
7e-06;5,13131;5,23232;350;-44,3342;-60
8e-06;5,13131;5,25253;400;-25,9576;-60
9e-06;5,13131;5,25253;450;2,07205;-60
1e-05;5,12727;5,25253;500;6,42586;-55,9892
1,1e-05;5,13131;5,23232;550;-4,33648;-60
1,2e-05;5,13131;5,23232;600;-36,5329;-60
1,3e-05;5,12727;5,25253;650;-42,9639;-60
1,4e-05;5,12727;5,23232;700;-40,752;-60
1,5e-05;5,13131;5,25253;750;-41,0043;-60
1,6e-05;5,13131;5,23232;800;-41,5579;-60
1,7e-05;5,13131;5,23232;850;-41,7214;-60
1,8e-05;5,13131;5,25253;900;-37,991;-60
1,9e-05;5,13131;5,25253;950;-27,6851;-60
2e-05;5,12727;5,23232;1.000;-23,7345;-60
2,1e-05;5,13131;5,21212;1.050;-49,0502;-60
2,2e-05;5,13131;5,27273;1.100;-43,1232;-60
2,3e-05;5,13131;5,25253;1.150;-42,1782;-60
2,4e-05;5,13131;5,25253;1.200;-41,8412;-60
2,5e-05;5,13131;5,23232;1.250;-41,8276;-60
2,6e-05;5,13131;5,23232;1.300;-42,754;-60
2,7e-05;5,13131;5,25253;1.350;-53,0274;-60
2,8e-05;5,13131;5,23232;1.400;-19,15;-60
2,9e-05;5,13131;5,25253;1.450;-3,99626;-51,3493
3e-05;5,13131;5,21212;1.500;-5,39923;-51,4591
3,1e-05;5,13131;5,23232;1.550;-24,7864;-59,5256
3,2e-05;5,13131;5,25253;1.600;-51,4085;-60
3,3e-05;5,13131;5,25253;1.650;-50,0864;-60
3,4e-05;5,13131;5,21212;1.700;-49,2049;-60
3,5e-05;5,13131;5,23232;1.750;-50,0489;-60
3,6e-05;5,13131;5,25253;1.800;-50,8577;-60
3,7e-05;5,13131;5,19192;1.850;-50,1326;-60
3,8e-05;5,13131;5,17172;1.900;-33,8284;-60
3,9e-05;5,13131;5,23232;1.950;-24,2806;-60
4e-05;5,13131;5,25253;2.000;-27,7576;-60
4,1e-05;5,13131;5,25253;2.050;-60;-60
4,2e-05;5,13131;5,25253;2.100;-54,7525;-60
4,3e-05;5,12727;5,17172;2.150;-54,4842;-60
4,4e-05;5,13131;5,23232;2.200;-54,9423;-60
4,5e-05;5,13131;5,21212;2.250;-55,3859;-60
4,6e-05;5,13131;5,23232;2.300;-56,2095;-60
4,7e-05;5,13131;5,23232;2.350;-58,5224;-60
4,8e-05;5,13131;5,25253;2.400;-15,0278;-60
4,9e-05;5,12727;5,23232;2.450;-7,35847;-53,2718
5e-05;5,13131;5,21212;2.500;-14,691;-59,4455
5,1e-05;5,13131;5,23232;2.550;-56,454;-60
5,2e-05;5,13131;5,21212;2.600;-59,0735;-60
5,3e-05;5,13131;5,23232;2.650;-59,4229;-60
5,4e-05;5,13131;5,25253;2.700;-59,7947;-60
5,5e-05;5,13131;5,25253;2.750;-59,2674;-60
5,6e-05;5,13131;5,23232;2.800;-57,8224;-60
5,7e-05;5,13131;5,23232;2.850;-50,8804;-60
5,8e-05;5,13131;5,25253;2.900;-28,8114;-60
5,9e-05;5,13131;5,23232;2.950;-23,7211;-60
6e-05;5,12727;5,23232;3.000;-35,3583;-60
6,1e-05;5,13131;5,25253;3.050;-56,8631;-60
6,2e-05;5,12727;5,23232;3.100;-53,0511;-60
6,3e-05;5,13131;5,25253;3.150;-52,1985;-60
6,4e-05;5,13131;5,23232;3.200;-51,7962;-60
6,5e-05;5,13131;5,25253;3.250;-52,4518;-60
6,6e-05;5,12323;5,23232;3.300;-60;-60
6,7e-05;5,12727;5,23232;3.350;-33,5554;-60
6,8e-05;5,13131;5,25253;3.400;-13,0683;-60
6,9e-05;5,13131;5,25253;3.450;-11,4571;-56,6999
7e-05;5,13131;5,21212;3.500;-25,883;-60
7,1e-05;5,13131;5,25253;3.550;-54,716;-60
7,2e-05;5,13131;5,25253;3.600;-55,7051;-60
7,3e-05;5,13131;5,23232;3.650;-54,7948;-60
7,4e-05;5,13131;5,27273;3.700;-55,2812;-60
7,5e-05;5,13131;5,25253;3.750;-55,3687;-60
7,6e-05;5,13131;5,21212;3.800;-53,4373;-60
7,7e-05;5,13131;5,25253;3.850;-38,6009;-60
7,8e-05;5,13131;5,23232;3.900;-25,207;-60
7,9e-05;5,13131;5,23232;3.950;-25,8261;-60
8e-05;5,13131;5,25253;4.000;-48,9984;-60
8,1e-05;5,13131;5,25253;4.050;-55,2925;-60
8,2e-05;5,12727;5,23232;4.100;-53,1185;-60
8,3e-05;5,12727;5,25253;4.150;-52,7177;-60
8,4e-05;5,13131;5,25253;4.200;-52,9116;-60
8,5e-05;5,12727;5,25253;4.250;-54,325;-60
8,6e-05;5,13131;5,25253;4.300;-60;-60
8,7e-05;5,13131;5,23232;4.350;-24,3567;-60
8,8e-05;5,13131;5,21212;4.400;-13,0307;-60
8,9e-05;5,13131;5,25253;4.450;-17,1822;-60
9e-05;5,13131;5,23232;4.500;-42,8555;-60
9,1e-05;5,13131;5,25253;4.550;-60;-60
9,2e-05;5,13131;5,25253;4.600;-60;-60
9,3e-05;5,13131;5,21212;4.650;-60;-60
9,4e-05;5,13131;5,23232;4.700;-60;-60
9,5e-05;5,13131;5,23232;4.750;-60;-60
9,6e-05;5,13131;5,25253;4.800;-60;-60
9,7e-05;5,13131;5,23232;4.850;-31,5207;-60
9,8e-05;5,13131;5,25253;4.900;-23,7543;-60
9,9e-05;5,13131;5,23232;4.950;-30,9095;-60
0,0001;5,13131;5,23232;5.000;-60;-60
0,000101;5,13131;5,25253;5.050;-60;-60
0,000102;5,13131;5,23232;5.100;-60;-60
0,000103;5,13131;5,25253;5.150;-60;-60
0,000104;5,13131;5,21212;5.200;-60;-60
0,000105;5,13131;5,23232;5.250;-60;-60
0,000106;5,13131;5,25253;5.300;-47,9337;-60
0,000107;5,13131;5,25253;5.350;-19,5597;-60
0,000108;5,13131;5,25253;5.400;-14,8632;-60
0,000109;5,13131;5,25253;5.450;-25,3053;-60
0,00011;5,13131;5,25253;5.500;-58,8487;-60
0,000111;5,12727;5,25253;5.550;-60;-60
0,000112;5,13131;5,23232;5.600;-60;-60
0,000113;5,13131;5,25253;5.650;-60;-60
0,000114;5,13131;5,25253;5.700;-60;-60
0,000115;5,12727;5,23232;5.750;-58,5715;-60
0,000116;5,13131;5,21212;5.800;-45,1863;-60
0,000117;5,12727;5,23232;5.850;-26,7939;-60
0,000118;5,13131;5,23232;5.900;-24,614;-60
0,000119;5,13131;5,21212;5.950;-40,0698;-60
0,00012;5,12323;5,25253;6.000;-59,6891;-60
0,000121;5,13131;5,25253;6.050;-55,286;-60
0,000122;5,12727;5,25253;6.100;-54,4212;-60
0,000123;5,13131;5,23232;6.150;-54,3646;-60
0,000124;5,12727;5,19192;6.200;-55,3452;-60
0,000125;5,13131;5,25253;6.250;-60;-60
0,000126;5,12727;5,25253;6.300;-33,2399;-60
0,000127;5,13131;5,25253;6.350;-17,5479;-60
0,000128;5,12727;5,23232;6.400;-18,6767;-60
0,000129;5,13131;5,25253;6.450;-37,3692;-60
0,00013;5,12727;5,25253;6.500;-60;-60
0,000131;5,13131;5,23232;6.550;-60;-60
0,000132;5,12727;5,23232;6.600;-60;-60
0,000133;5,12727;5,21212;6.650;-60;-60
0,000134;5,13131;5,23232;6.700;-60;-60
0,000135;5,13131;5,25253;6.750;-59,6377;-60
0,000136;5,13131;5,23232;6.800;-35,3095;-60
0,000137;5,13131;5,25253;6.850;-24,3201;-60
0,000138;5,12727;5,23232;6.900;-28,0485;-60
0,000139;5,13131;5,23232;6.950;-56,8427;-60
0,00014;5,13131;5,23232;7.000;-60;-60
0,000141;5,13131;5,23232;7.050;-60;-60
0,000142;5,13131;5,23232;7.100;-60;-60
0,000143;5,13131;5,23232;7.150;-60;-60
0,000144;5,12727;5,23232;7.200;-60;-60
0,000145;5,13131;5,25253;7.250;-60;-60
0,000146;5,13131;5,25253;7.300;-25,8117;-60
0,000147;5,13131;5,19192;7.350;-17,7931;-60
0,000148;5,12727;5,25253;7.400;-24,802;-60
0,000149;5,12727;5,23232;7.450;-60;-60
0,00015;5,13131;5,23232;7.500;-60;-60
0,000151;5,13131;5,25253;7.550;-60;-60
0,000152;5,13131;5,21212;7.600;-60;-60
0,000153;5,13131;5,23232;7.650;-60;-60
0,000154;5,13131;5,23232;7.700;-60;-60
